#index,total_evals,nonsep_0,nonsep_1,nonsep_2,nonsep_3,nonsep_4,nonsep_5,nonsep_6,nonsep_7,nonsep_8,nonsep_9,nonsep_10,nonsep_11,nonsep_12,nonsep_13,nonsep_14,nonsep_15,nonsep_16,nonsep_17,nonsep_18,nonsep_19,nonsep_20,nonsep_21,nonsep_22,nonsep_23,nonsep_24,nonsep_25
34,,,,,4_autoCreatedSpl2id362,5_autoCreatedSpl3id41,6_autoCreatedSpl2id245,7_autoCreatedSpl2id169,8_autoCreatedSpl3id230,9_and_bi_1092_,10_and_bi_1027_,11_autoCreatedSpl3id90,12_autoCreatedSpl3id79,13_or_bb_0801_,14_or_bb_0980_,15_or_bb_1097_,16_or_ii_1068_,17_autoCreatedSpl2id263,18_autoCreatedSpl2id447,19_bfr_autonet206_,20_bfr_autonet269_,21_bfr_autonet310_,,,,,
35,,,,,4_autoCreatedSpl2id364,5_autoCreatedSpl2id42,6_autoCreatedSpl2id247,7_autoCreatedSpl3id203,8_autoCreatedSpl3id236,9_autoCreatedSpl3id60,10_and_bi_1028_,11_autoCreatedSpl2id93,12_autoCreatedSpl3id87,13_and_bi_0802_,14_or_bb_0997_,15_and_bi_1098_,16_or_bb_1077_,17_autoCreatedSpl2id277,18_autoCreatedSpl2id458,19_bfr_autonet213_,20_bfr_autonet280_,21_bfr_0420_,,,,,
36,,,,,4_autoCreatedSpl2id366,5_autoCreatedSpl3id56,6_autoCreatedSpl2id248,7_autoCreatedSpl3id233,8_autoCreatedSpl3id243,9_autoCreatedSpl3id61,10_and_bi_1048_,11_autoCreatedSpl3id106,12_autoCreatedSpl3id92,13_and_bi_0809_,14_and_bi_1018_,15_autoCreatedSpl2id143,16_or_bb_1099_,17_autoCreatedSpl2id299,18_autoCreatedSpl2id461,19_bfr_autonet227_,20_bfr_autonet283_,21_bfr_autonet325_,,,,,
37,,,,,4_autoCreatedSpl2id368,5_autoCreatedSpl3id138,6_autoCreatedSpl2id251,7_autoCreatedSpl2id266,8_autoCreatedSpl2id246,9_autoCreatedSpl3id107,10_or_bb_1051_,11_autoCreatedSpl2id110,12_autoCreatedSpl3id96,13_or_bi_0815_,14_and_bi_1020_,15_autoCreatedSpl3id145,16_autoCreatedSpl3id182,17_autoCreatedSpl2id316,18_bfr_autonet44_,19_bfr_autonet233_,20_bfr_autonet289_,21_bfr_autonet329_,,,,,
38,,,,,4_autoCreatedSpl2id378,5_autoCreatedSpl2id375,6_autoCreatedSpl2id252,7_autoCreatedSpl3id275,8_autoCreatedSpl3id249,9_autoCreatedSpl3id123,10_and_bi_1071_,11_autoCreatedSpl3id111,12_autoCreatedSpl3id102,13_or_bb_0845_,14_and_bi_1032_,15_autoCreatedSpl3id146,16_autoCreatedSpl3id183,17_autoCreatedSpl2id322,18_bfr_0015_,19_bfr_autonet256_,20_bfr_0402_,21_bfr_0438_,,,,,
39,,,,,4_autoCreatedSpl2id406,5_autoCreatedSpl2id380,6_autoCreatedSpl2id376,7_autoCreatedSpl2id310,8_autoCreatedSpl3id253,9_autoCreatedSpl3id141,10_or_bb_1081_,11_autoCreatedSpl3id126,12_autoCreatedSpl3id117,13_or_bb_0854_,14_or_bb_1055_,15_autoCreatedSpl2id159,16_autoCreatedSpl3id184,17_autoCreatedSpl2id349,18_bfr_autonet72_,19_bfr_autonet260_,20_bfr_autonet309_,21_bfr_autonet351_,,,,,
40,,,,,4_autoCreatedSpl2id408,5_autoCreatedSpl2id386,6_autoCreatedSpl2id396,7_autoCreatedSpl2id377,8_autoCreatedSpl3id276,9_autoCreatedSpl3id151,10_or_bb_1093_,11_autoCreatedSpl3id127,12_autoCreatedSpl3id129,13_or_bb_0862_,14_or_bb_1075_,15_autoCreatedSpl3id179,16_autoCreatedSpl2id185,17_autoCreatedSpl2id355,18_bfr_0167_,19_bfr_autonet268_,20_bfr_autonet317_,21_bfr_autonet356_,,,,,
41,,,,,4_autoCreatedSpl2id455,5_autoCreatedSpl2id390,6_autoCreatedSpl2id464,7_autoCreatedSpl2id381,8_autoCreatedSpl2id300,9_autoCreatedSpl3id157,10_autoCreatedSpl3id74,11_autoCreatedSpl3id128,12_autoCreatedSpl3id130,13_and_bi_0863_,14_and_bi_1080_,15_autoCreatedSpl3id180,16_autoCreatedSpl2id217,17_autoCreatedSpl2id449,18_bfr_0209_,19_bfr_autonet279_,20_bfr_autonet324_,21_bfr_0465_,,,,,
42,,,,,4_autoCreatedSpl2id463,5_autoCreatedSpl2id418,6_autoCreatedSpl2id470,7_autoCreatedSpl2id403,8_autoCreatedSpl2id311,9_autoCreatedSpl3id170,10_autoCreatedSpl3id101,11_autoCreatedSpl3id173,12_autoCreatedSpl3id131,13_or_bb_0876_,14_and_bi_1088_,15_autoCreatedSpl3id181,16_autoCreatedSpl2id218,17_autoCreatedSpl2id457,18_bfr_autonet155_,19_bfr_autonet282_,20_bfr_autonet328_,21_bfr_autonet376_,,,,,
43,,,,,4_bfr_autonet412_,5_autoCreatedSpl2id422,6_autoCreatedSpl2id478,7_autoCreatedSpl2id428,8_autoCreatedSpl2id319,9_autoCreatedSpl2id177,10_autoCreatedSpl2id124,11_autoCreatedSpl2id238,12_autoCreatedSpl3id132,13_or_ii_0881_,14_or_bb_1096_,15_autoCreatedSpl2id198,16_autoCreatedSpl2id262,17_autoCreatedSpl2id460,18_bfr_autonet160_,19_bfr_autonet302_,20_bfr_autonet333_,21_bfr_autonet398_,,,,,
44,,,,,4_bfr_autonet420_,5_autoCreatedSpl2id472,6_autoCreatedSpl2id494,7_autoCreatedSpl2id436,8_autoCreatedSpl2id325,9_autoCreatedSpl2id191,10_autoCreatedSpl3id125,11_autoCreatedSpl3id260,12_autoCreatedSpl3id133,13_or_bb_0896_,14_autoCreatedSpl3id20,15_autoCreatedSpl2id232,16_autoCreatedSpl2id268,17_autoCreatedSpl2id481,18_bfr_0241_,19_bfr_autonet308_,20_bfr_0439_,21_bfr_autonet589_,,,,,
45,,,,,4_bfr_autonet429_,5_bfr_autonet381_,6_bfr_autonet54_,7_autoCreatedSpl2id466,8_autoCreatedSpl2id335,9_autoCreatedSpl2id197,10_autoCreatedSpl2id142,11_autoCreatedSpl2id273,12_autoCreatedSpl3id134,13_and_bi_0897_,14_autoCreatedSpl2id25,15_autoCreatedSpl2id239,16_autoCreatedSpl2id290,17_autoCreatedSpl2id489,18_bfr_0268_,19_bfr_autonet316_,20_bfr_autonet350_,21_bfrautoSplNet682,,,,,
46,,,,,4_bfr_autonet452_,5_bfr_autonet409_,6_bfr_autonet69_,7_autoCreatedSpl2id473,8_autoCreatedSpl2id348,9_autoCreatedSpl3id205,10_autoCreatedSpl2id152,11_autoCreatedSpl2id285,12_autoCreatedSpl3id135,13_or_bb_0910_,14_autoCreatedSpl3id144,15_autoCreatedSpl2id255,16_autoCreatedSpl2id309,17_autoCreatedSpl2id493,18_bfr_autonet205_,19_bfr_autonet332_,20_bfr_autonet355_,21_bfrautoSplNet680,,,,,
47,,,,,4_bfr_autonet462_,5_bfr_autonet413_,6_bfr_autonet79_,7_autoCreatedSpl2id476,8_autoCreatedSpl2id361,9_autoCreatedSpl2id227,10_autoCreatedSpl2id158,11_autoCreatedSpl2id286,12_autoCreatedSpl2id202,13_and_bi_0911_,14_autoCreatedSpl3id178,15_autoCreatedSpl2id257,16_autoCreatedSpl2id317,17_autoCreatedSpl2id499,18_bfr_autonet212_,19_bfr_autonet337_,20_bfr_autonet361_,,,,,,
48,,,,,4_bfr_autonet501_,5_bfr_autonet421_,6_bfr_autonet188_,7_autoCreatedSpl2id479,8_autoCreatedSpl2id379,9_autoCreatedSpl2id231,10_autoCreatedSpl2id171,11_autoCreatedSpl2id301,12_autoCreatedSpl2id222,13_and_bi_0926_,14_autoCreatedSpl2id199,15_autoCreatedSpl2id269,16_autoCreatedSpl2id451,17_bfr_0524_,18_bfr_autonet226_,19_bfr_autonet349_,20_bfr_autonet397_,,,,,,
49,,,,,4_bfr_autonet702_,5_bfr_autonet430_,6_bfr_autonet246_,7_autoCreatedSpl2id495,8_autoCreatedSpl2id382,9_autoCreatedSpl2id237,10_autoCreatedSpl3id172,11_autoCreatedSpl2id312,12_autoCreatedSpl2id258,13_or_bi_0941_,14_autoCreatedSpl3id213,15_autoCreatedSpl2id270,16_autoCreatedSpl2id456,17_bfr_autonet47_,18_bfr_autonet232_,19_bfr_autonet354_,20_bfrautoSplNet451,,,,,,
